Datetime,volume,price
2013-09-02,46206200,89.48
2013-09-03,87953920,90.45
2013-09-04,52920680,90.33
2013-09-05,113375290,92.78
2013-09-06,167514290,92.47
2013-09-09,127372070,94.81
2013-09-10,118417470,96.55
2013-09-11,68867470,95.5
2013-09-12,80569980,95.53
2013-09-13,57993190,95.82
2013-09-16,112092070,98.97
2013-09-17,69417120,99.6
2013-09-18,109579560,99.79
2013-09-19,160727340,102.33
2013-09-20,80174540,102.36
2013-09-23,79846990,101.82
2013-09-24,81642090,100.5
2013-09-25,76053110,101.95
2013-09-26,74163010,101.67
2013-09-27,90396330,98.59
2013-09-30,71124930,97.86
2013-10-01,74492480,99.16
2013-10-02,79877890,97.74
2013-10-03,77836460,98.24
2013-10-04,81230790,100.39
2013-10-07,84643630,100.3
2013-10-08,113584170,102.11
2013-10-09,99305220,101.48
2013-10-10,111791100,103.43
2013-10-11,91915670,102.87
2013-10-14,66291240,102.93
2013-10-15,103099720,104.55
2013-10-16,84614620,104.05
2013-10-17,83012030,103.33
2013-10-18,115501360,105.14
2013-10-21,63746540,105.43
2013-10-22,71694660,105.4
2013-10-23,78066510,103.29
2013-10-24,68751720,102.86
2013-10-25,78521210,102.99
2013-10-28,71025060,102.84
2013-10-29,65077430,102.8
2013-10-30,82968330,103.11
2013-10-31,87954830,102.74
2013-11-01,62858850,103.65
2013-11-05,61356730,102.47
2013-11-06,66133090,102.59
2013-11-07,76238840,103.55
2013-11-08,89014360,101.86
2013-11-11,53096350,101.77
2013-11-12,112492620,104.25
2013-11-13,135946290,101.81
2013-11-14,93686490,103.7
2013-11-15,96819500,103.69
2013-11-18,92184970,105.5
2013-11-19,100547410,106.19
2013-11-20,79936140,106.0
2013-11-21,77524160,104.78
2013-11-22,70239230,105.1
2013-11-25,72178650,105.31
2013-11-26,93845310,103.02
2013-11-27,80453800,102.77
2013-11-28,64879430,102.69
2013-11-29,79612660,103.07
2013-12-02,61527830,102.36
2013-12-03,123406320,100.24
2013-12-04,96070960,98.95
2013-12-05,94786250,98.25
2013-12-06,107963460,99.9
2013-12-09,95366620,101.0
2013-12-10,91125870,100.16
2013-12-11,85886120,100.65
2013-12-12,103712820,98.96
2013-12-13,79694090,98.94
2013-12-16,87234110,99.85
2013-12-17,72704270,100.15
2013-12-18,59591350,100.18
2013-12-19,105506160,101.78
2013-12-20,75647410,102.2
2013-12-23,67006350,102.45
2013-12-24,40338120,101.96
2013-12-25,22183040,101.62
2013-12-26,22250510,101.95
2013-12-27,37103790,100.68
2013-12-30,34310640,101.17
2014-01-06,31691800,98.91
2014-01-08,42372290,98.19
2014-01-09,45986900,98.0
2014-01-10,51902400,99.2
2014-01-13,62051250,100.25
2014-01-14,78485160,99.24
2014-01-15,77839370,100.77
2014-01-16,62759280,100.65
2014-01-17,69135170,101.17
2014-01-20,62429420,101.96
2014-01-21,61991430,102.2
2014-01-22,58589100,102.17
2014-01-23,70600710,101.7
2014-01-24,112821700,99.7
2014-01-27,103793450,97.78
2014-01-28,80448950,97.36
2014-01-29,120814560,95.98
2014-01-30,130498640,95.8
2014-01-31,103047610,94.7
2014-02-03,81505780,94.66
2014-02-04,93931280,94.07
2014-02-05,90666210,95.45
2014-02-06,76095210,96.62
2014-02-07,77654990,96.53
2014-02-10,67771880,95.47
2014-02-11,55103910,96.12
2014-02-12,70670070,96.84
2014-02-13,62181740,95.5
2014-02-14,63884790,96.65
2014-02-17,54738670,97.49
2014-02-18,56765130,96.62
2014-02-19,79367620,94.9
2014-02-20,72263740,94.63
2014-02-21,52205040,95.0
2014-02-24,48226210,94.69
2014-02-25,74634340,94.17
2014-02-26,90720380,92.29
2014-02-27,129290620,90.12
2014-02-28,112780920,91.16
2014-03-03,427913510,77.57
2014-03-04,371921710,81.55
2014-03-05,175284130,81.46
2014-03-06,281937510,80.24
2014-03-07,190384620,79.99
2014-03-11,150142970,76.57
2014-03-12,227452390,72.46
2014-03-13,256776110,69.84
2014-03-14,346714120,71.75
2014-03-17,344321660,76.97
2014-03-18,301075150,81.43
2014-03-19,257701520,80.83
2014-03-20,190046940,79.5
2014-03-21,207828970,78.47
2014-03-24,167819190,78.29
2014-03-25,255665910,81.85
2014-03-26,229652070,82.56
