DateTime,open,high,low,close,volume,price
10/16/2007 13:21,99.28,99.32,99.27,99.29,6814,53.29
10/16/2007 13:22,99.27,99.36,99.26,99.26,18050,49.26
10/16/2007 13:23,99.26,99.36,99.23,99.34,13388,49.34
10/16/2007 13:24,99.34,99.36,99.27,99.27,13388,49.27
10/16/2007 13:25,99.29,99.34,99.27,99.32,10041,48.32
10/16/2007 13:26,99.32,99.37,99.26,99.34,21517,56.34
10/16/2007 13:27,99.33,99.46,99.33,99.42,16377,48.42
10/16/2007 13:28,99.42,99.42,99.37,99.37,16616,61.37
10/16/2007 13:29,99.38,99.41,99.34,99.38,14703,48.38
10/16/2007 13:30,99.38,99.42,99.37,99.39,16018,47.39
10/16/2007 13:31,99.41,99.42,99.35,99.37,21995,46.37
10/16/2007 13:32,99.38,99.47,99.37,99.44,19963,62.44
10/16/2007 13:33,99.46,99.59,99.46,99.58,53792,55.58
10/16/2007 13:34,99.58,99.78,99.58,99.77,58454,55.77
10/16/2007 13:35,99.75,99.84,99.73,99.83,40404,51.83
10/16/2007 13:36,99.83,99.93,99.68,99.71,74591,46.71
10/16/2007 13:37,99.73,99.84,99.7,99.78,28450,53.78
10/16/2007 13:38,99.73,99.76,99.63,99.63,19843,56.63
10/16/2007 13:39,99.64,99.65,99.58,99.63,19724,49.63
10/16/2007 13:40,99.63,99.63,99.51,99.55,20441,52.55
10/16/2007 13:41,99.53,99.59,99.47,99.5,17333,46.5
10/16/2007 13:42,99.51,99.51,99.42,99.42,13388,49.42
10/16/2007 13:43,99.41,99.54,99.36,99.53,18289,62.53
10/16/2007 13:44,99.53,99.67,99.53,99.67,17811,54.67
10/16/2007 13:45,99.68,99.78,99.63,99.66,27135,54.66
10/16/2007 13:46,99.64,99.72,99.55,99.56,26776,53.56
10/16/2007 13:47,99.57,99.72,99.56,99.62,43631,46.62
10/16/2007 13:48,99.63,99.72,99.61,99.71,36220,59.71
10/16/2007 13:49,99.69,99.7,99.6,99.65,43512,57.65
10/16/2007 13:50,99.65,99.65,99.59,99.6,15301,62.6
10/16/2007 13:51,99.59,99.6,99.52,99.55,21039,48.55
10/16/2007 13:52,99.55,99.55,99.47,99.48,29167,56.48
10/16/2007 13:53,99.48,99.5,99.47,99.5,3586,59.5
10/16/2007 13:54,99.5,99.57,99.48,99.57,17094,51.57
10/16/2007 13:55,99.56,99.59,99.55,99.58,11834,55.58
10/16/2007 13:56,99.57,99.59,99.54,99.54,22712,49.54
10/16/2007 13:57,99.54,99.59,99.53,99.56,20321,46.56
10/16/2007 13:58,99.55,99.58,99.48,99.5,19126,53.5
10/16/2007 13:59,99.53,99.56,99.5,99.55,18887,58.55
10/16/2007 14:00,99.55,99.55,99.48,99.55,19126,53.55
