Datetime,volume,price
2013-11-06,1320900,57.4
2013-11-07,2112000,58.45
2013-11-08,1361500,57.1
2013-11-11,1259600,57.47
2013-11-12,887500,57.88
2013-11-13,2883100,57.83
2013-11-14,1796800,59.51
2013-11-15,1285200,59.88
2013-11-18,996700,59.81
2013-11-19,1317300,58.68
2013-11-20,1302300,57.6
2013-11-21,1284700,57.78
2013-11-22,1151600,58.29
2013-11-25,839200,58.26
2013-11-26,2121700,57.57
2013-11-27,2265700,57.19
2013-11-28,1295600,58.44
2013-11-29,2363400,60.42
2013-12-02,4906000,62.69
2013-12-03,3190100,63.12
2013-12-04,10394800,67.46
2013-12-05,3849500,66.72
2013-12-06,6598100,68.8
2013-12-09,6947300,72.48
2013-12-10,4618400,74.1
2013-12-11,3249000,73.09
2013-12-12,3573200,73.65
2013-12-13,7171800,76.75
2013-12-16,7016200,79.66
2013-12-17,4191300,79.24
2013-12-18,5061900,77.17
2013-12-19,5901800,78.0
2013-12-20,6211000,79.23
2013-12-23,4570900,81.56
2013-12-24,6281600,85.0
2013-12-25,6262600,85.05
2013-12-26,4731100,84.54
2013-12-27,3836100,82.5
2013-12-30,5262600,83.7
2014-01-06,2490000,83.24
2014-01-08,2345100,83.41
2014-01-09,2751400,82.9
2014-01-10,3849100,82.83
2014-01-13,7404300,87.87
2014-01-14,7910200,84.96
2014-01-15,5388900,83.9
2014-01-16,4117300,84.8
2014-01-17,3629900,84.25
2014-01-20,3448100,85.46
2014-01-21,7934600,81.35
2014-01-22,9903800,78.78
2014-01-23,4992100,79.79
2014-01-24,4305900,78.7
2014-01-27,5141500,81.9
2014-01-28,3446600,81.75
2014-01-29,3340700,81.38
2014-01-30,2806800,81.44
2014-01-31,2906200,83.0
2014-02-03,4761000,80.0
2014-02-04,6241600,76.65
2014-02-05,6699700,76.12
2014-02-06,4932600,78.9
2014-02-07,4324400,79.5
2014-02-10,2914700,79.51
2014-02-11,1913300,80.7
2014-02-12,5062700,82.02
2014-02-13,3901700,80.6
2014-02-14,2766200,80.28
2014-02-17,618300,80.75
2014-02-18,2795900,80.0
2014-02-19,1965100,78.1
2014-02-20,2274900,77.8
2014-02-21,1468300,77.88
2014-02-24,1934400,76.9
2014-02-25,1124800,77.39
2014-02-26,2172700,77.6
2014-02-27,5895700,72.71
2014-02-28,5484400,70.61
2014-03-03,11263800,59.0
2014-03-04,9257400,60.6
2014-03-05,6152100,62.18
2014-03-06,10299200,62.4
2014-03-07,4844000,61.08
2014-03-11,9663100,59.38
2014-03-12,6743300,58.55
2014-03-13,11087900,52.8
2014-03-14,17220200,47.29
2014-03-17,21583400,46.62
2014-03-18,28154600,48.6
2014-03-19,36318300,53.89
2014-03-20,26956600,56.45
2014-03-21,18254900,55.15
2014-03-24,11757400,53.74
2014-03-25,9431100,54.24
2014-03-26,8451700,55.35
2014-03-27,11717600,53.11
2014-03-28,5615500,53.85
2014-03-31,3938700,55.2
2014-04-01,6133300,55.97
2014-04-02,5091000,55.78
2014-04-03,3501000,55.8
2014-04-04,3127200,56.02
2014-04-07,8021700,53.45
2014-04-08,5300800,53.39
2014-04-09,4252200,53.85
2014-04-10,3094800,54.15
2014-04-11,2410400,53.4
2014-04-14,2759900,52.85
2014-04-15,5589200,49.68
2014-04-16,4995400,51.8
2014-04-17,5023600,53.0
2014-04-18,3085200,53.75
2014-04-21,2028400,53.65
2014-04-22,3584200,52.34
2014-04-23,2606400,51.76
2014-04-24,4354400,50.64
2014-04-25,3068900,49.25
2014-04-28,4029400,50.46
2014-04-29,2887400,50.95
2014-04-30,6413300,50.92
2014-05-02,1797900,50.35
2014-05-05,1908800,50.25
2014-05-06,3968600,50.55
2014-05-07,8383200,52.17
2014-05-08,6072500,51.49
2014-05-12,2578000,51.61
2014-05-13,5709800,52.8
2014-05-14,3534100,53.0
2014-05-15,5548000,52.24
2014-05-16,1906500,52.65
2014-05-19,2859300,53.55
2014-05-20,3325000,53.61
2014-05-21,4463100,54.2
2014-05-22,5545400,53.11
2014-05-23,2498700,53.89
2014-05-26,4314200,53.99
2014-05-27,3977600,53.32
2014-05-28,2405700,54.0
2014-05-29,6940900,55.3
2014-05-30,2366200,55.15
2014-06-02,8564500,57.04
2014-06-03,2457400,57.8
2014-06-04,5340600,57.2
2014-06-05,1807900,57.57
2014-06-06,2912200,57.59
2014-06-09,3416600,58.84
2014-06-10,2656000,58.85
2014-06-11,2161900,58.74
2014-06-16,5026200,56.89
2014-06-17,3918200,55.06
2014-06-18,1922000,55.3
2014-06-19,2889600,55.64
2014-06-20,1973200,55.68
2014-06-23,1730800,56.38
2014-06-24,4575300,58.49
2014-06-25,2611100,56.75
2014-06-26,2400400,56.44
2014-06-27,2292900,55.6
2014-06-30,2701800,56.43
2014-07-01,1256600,56.68
2014-07-02,2940000,57.1
2014-07-03,2695800,57.09
2014-07-04,5071300,57.3
2014-07-07,5844400,58.26
2014-07-08,5062800,59.34
2014-07-09,6020600,59.73
2014-07-10,3750100,58.66
2014-07-11,1898100,59.1
2014-07-14,1454800,59.5
2014-07-15,1777200,59.0
2014-07-16,1050100,59.43
2014-07-17,3881600,57.33
2014-07-18,5564700,54.4
2014-07-21,5180300,52.02
2014-07-22,3681600,53.73
2014-07-23,2525500,53.98
2014-07-24,1402700,53.76
2014-07-25,2748200,52.28
2014-07-28,2738500,50.48
2014-07-29,2976600,50.44
2014-07-30,3957900,50.5
